Name,Address,Website,Phone Number,Image link
A A Guest Rooms,"45 Eastgate Close, London, SE28 8PL",www.aaguestrooms.co.uk,07861 146839 ,"https://c.yell.com/t_bigRect,f_auto/954b5cde-0598-4cfd-bbee-5c3f7e17f5c8_image_png.png"
City Continental Kensington,"11-13 Penywern Rd, London, SW5 9TT",www.citycontinental-kensington.co.uk,020 7373 6514 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bloomsbury Park,"126 Southampton Row, London, WC1B 5AD",,0845 4566399 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hotel Lily,"23-33 Lillie Rd, London, SW6 1UG",www.hotellily.co.uk,020 7381 1881 ,"https://c.yell.com/t_bigSquare,f_auto/9f888d9a-9937-4ce1-8c81-a483bb6bba0f_image_jpeg.jpg"
Montagu Place,"2-3 Montagu Place, London, W1H 2ER",www.montagu-place.co.uk,020 7467 2777 ,"https://c.yell.com/t_bigRect,f_auto/40fe3ff3-9012-43c3-ac27-8df85ff6ec7c_image_jpeg.jpg"
Hampton Court Palace Hotel,"35 Hampton St, London, SE17 3AN",www.hamptonhotellondon.com,020 7703 0011 ,"https://c.yell.com/t_bigRect,f_auto/020fbbf3-baa2-4ab6-966b-5848c804eb9f_image_jpeg.jpg"
Roux at the Landau,"1C Portland Place, London, W1B 1JA",rouxatthelandau.com?utm_source=yext&utm_medium=referral&utm_campaign=yext_profile,020 7965 0165 ,"https://c.yell.com/t_bigRect,f_auto/c666f217-d751-4654-a4cc-047132833f11_image_jpeg.jpg"
Black Lion,"58 Brighton Rd, Surbiton, KT6 5PL",www.rampubcompany.co.uk,020 8399 8856 ,"https://c.yell.com/t_bigRect,f_auto/b4f01958-828f-4c5f-957c-f0fc0cfb67da_image_jpeg.jpg"
Tavistock Hotel,"Tavistock Square, London, WC1H 9EU",www.imperialhotels.co.uk,020 7636 8383 ,"https://c.yell.com/t_bigSquare,f_auto/cec9ab0d-bcce-4a5d-8896-df9bc3348511_image_jpeg.jpg"
La Gaffe,"107-111 Heath St, London, NW3 6SS",www.lagaffe.co.uk,020 7435 8965 ,"https://c.yell.com/t_bigRect,f_auto/1610fdc6-2afd-4986-95e5-71e156165ac8_image_png.png"
The Montcalm at the Brewery London City Ltd,"44-46 Chiswell St, London, EC1Y 4SA",www.themontcalmclub.com,020 7614 0100 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Premier Inn London Angel Islington,"18 Parkfield St, London, N1 0PS",www.premierinn.com,0333 003 1744 ,"https://c.yell.com/t_bigRect,f_auto/51dd0301-d02a-4da6-a2e4-924c54564196_image_jpeg.jpg"
The Winter Garden Within The Landmark London,"222 Marylebone Rd, London, NW1 6JQ",www.landmarklondon.co.uk,020 7631 8000 ,"https://c.yell.com/t_bigSquare,f_auto/110f3327-d3ae-48e1-8826-c6f01b4e468d_image_jpeg.jpg"
CitySpace Bermondsey,"64 Tower Bridge Rd, London, SE1 4TR",city-space.com?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 3434 6320 ,"https://c.yell.com/t_bigRect,f_auto/7b10d326-6fb7-4e62-9cdf-9357592d526a_image_jpeg.jpg"
The Zetter,"86-88 Clerkenwell Rd, London, EC1M 5RJ",www.thezetter.com,020 7324 4444 ,"https://c.yell.com/t_bigSquare,f_auto/4c9339d2-ae1f-4cbb-a9f3-4a6b3357662e_image_png.png"
Mawlana Restaurant,"161 Edgware Rd, London, W2 2HR",,020 3302 1640 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Astor Victoria Hotel,"71 Belgrave Rd, London, SW1V 2BG",astorhostels.com,020 7834 3077 ,"https://c.yell.com/t_bigSquare,f_auto/4c890e9b-abd8-4964-852d-9bc71c7caa72_image_jpeg.jpg"
Starhotels Collezione,"15 Cromwell Place, London, SW7 2LA",www.pelhamhotel.co.uk,020 7589 8288 ,"https://c.yell.com/t_bigRect,f_auto/58d1f444-6011-485a-9cfd-c3da67777c9c_image_jpeg.jpg"
London Continental Hotel,"88 Gloucester Place, London, W1U 6HR",www.londons-continental.com,020 7486 8670 ,"https://c.yell.com/t_bigSquare,f_auto/2c479d8c-1de0-49db-884d-8dd7c8412ba8_image_jpeg.jpg"
Travelstay.com,"113 Burford Business Centre, 11 Burford Road, London, E15 2ST",,0870 922 4100 ,"https://c.yell.com/t_bigRect,f_auto/d3ac3b17-5da5-4ce7-a0bd-2a332e9d9de8_image_png.png"
The Chamberlain Hotel Tower Bridge,"132-135 Minories, London, EC3N 1NU",www.thechamberlainhotel.co.uk,020 7680 1500 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Andaz Liverpool Street London - A new Hyatt Brand,"40 Liverpool Street, London, EC2M 7QN",www.london.liverpoolstreet.andaz.com,0845 0805104 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Workham Hotels & Venues,"154-158 Shoreditch High St, London, E1 6HU",www.workham.com,020 3540 7223 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
No. 8 Willesden,"305 High Rd, London, NW10 2JT",www.No8Hostel.com,020 8459 8576 ,"https://c.yell.com/t_bigRect,f_auto/26286efe-0bc2-45b9-9be3-9d01d5bf516c_image_jpeg.jpg"
The Queen's Park Hotel,"48 Queensborough Terrace, London, W2 3SJ",www.queensparkhotel.com,020 7229 8080 ,"https://c.yell.com/t_bigSquare,f_auto/719cba2e-db8c-4466-b89a-53653c397a64_image_jpeg.jpg"
Holiday Inn,"4 Portal Way, London, W3 6RT",www.ihg.com,020 8753 0800 ,"https://c.yell.com/t_bigRect,f_auto/d863b894-4930-4ae5-8e33-27dcafbee8cc_image_png.png"
Satyrio- Italian Restaurant & Wine Merchants,"49 Aldgate High St, London, EC3N 1AL",satyrio.co.uk,020 7488 3334 ,"https://c.yell.com/t_bigSquare,f_auto/1771f9c3-f5a5-482e-8b35-a9efe70d25b0_image_jpeg.jpg"
Snoozebox Holdings plc,"60 Trafalgar Square, London, WC2N 5DS",www.snoozebox.com,03450 920174 ,"https://c.yell.com/t_bigSquare,f_auto/53b92708-9632-473b-b1f8-8a7557e303c3_image_jpeg.jpg"
Notting Hill Gate Hotel,"7 Clanricarde Gardens, London, W2 4JJ",www.nottinghillgatehotel.co.uk,020 7243 3203 ,"https://c.yell.com/t_bigSquare,f_auto/c417628c-ce1e-4140-bcbb-cd4b2b928c29_image_jpeg.jpg"
Landmark Hotel Ltd,"222 Marylebone Rd, London, NW1 6JQ",www.landmarklondon.co.uk,020 7631 8000 ,"https://c.yell.com/t_bigRect,f_auto/f016cd68-25a0-48dc-bfaa-791bb4e2be22_image_jpeg.jpg"
Travelodge Hotels Ltd,"614 Western Avenue, London, W3 0TE",www.travelodge.co.uk,0871 984 6195 ,"https://c.yell.com/t_bigSquare,f_auto/fe7f10d8-d3b2-4bb2-b4dc-db0fc83e5065_image_jpeg.jpg"
Belgrave Hotel,"9-13 Clapham Rd, Oval, London, SW9 0JD",www.belgravehotel.net,020 7793 0142 ,"https://c.yell.com/t_bigSquare,f_auto/da633126-8d90-46d2-8527-66571065d184_image_jpeg.jpg"
ME London,"336-337 Strand, London, WC2R 1HA",www.mebymelia.com,020 7395 3400 ,"https://c.yell.com/t_bigSquare,f_auto/baa03ced-e520-4e14-b1df-6b53210ff154_image_jpeg.jpg"
Astor Quest Hostel,"45 Queensborough Terrace, London, W2 3SY",www.astorhostels.co.uk,020 7229 7782 ,"https://c.yell.com/t_bigSquare,f_auto/eef13a3c-887e-4e19-9835-46d37c8068ae_image_jpeg.jpg"
Amistad Hotel Marketing Partnership Ltd,"Golden Cross House Duncannon St, London, WC2N 4JF",www.amistadpartners.com,020 7484 5000 ,"https://c.yell.com/t_bigSquare,f_auto/79cfc872-c72d-4b5e-9fb3-bb997a7ecc67_image_jpeg.jpg"
Threadneedles Autograph Collection,"5 Threadneedle St, London, EC2R 8AY",www.hotelthreadneedles.co.uk?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_MjY5NjE0NC03MDItbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,020 7657 8080 ,"https://c.yell.com/t_bigRect,f_auto/74bfcd7c-21f4-4214-b48d-bcb286f8902d_image_jpeg.jpg"
Hotel Oliver,"198 Cromwell Rd, London, SW5 0SN",www.hoteloliver.co.uk,020 7370 6881 ,"https://c.yell.com/t_bigSquare,f_auto/57462b7d-31f8-468f-9a3c-eadb85112abf_image_jpeg.jpg"
The Victoria,"10 West Temple Sheen, London, SW14 7RT",www.thevictoria.net,020 8876 4238 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Club Quarters,"8 Northumberland Avenue, London, WC2N 5BY",www.clubquarters.com,020 7839 9333 ,"https://c.yell.com/t_bigRect,f_auto/3cdffb2d-0249-443b-9582-1a254b6a1c08_image_jpeg.jpg"
Hub By Premier Inn London Covent Garden,"110 St. Martin's Lane, London, WC2N 4BA",www.premierinn.com,0333 321 3104 ,"https://c.yell.com/t_bigRect,f_auto/e5b0a43b-e7a1-44fa-b9ee-ac62376fe08f_image_jpeg.jpg"
Thistle Trafalgar Hotels,"Whitcomb St, Trafalgar Square, London, WC2H 7HG",www.thistle.com,0871 376 9037 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Amba Charing Cross Hotel,"38 Craven St, London, WC2N 5NG",www.amba-hotel.com,020 7839 7282 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Royal Park,"3 Westbourne Terrace, London, W2 3UL",www.theroyalpark.com,020 7479 6600 ,"https://c.yell.com/t_bigSquare,f_auto/e986c2c2-4f63-416c-bb0f-8ad9866ce671_image_jpeg.jpg"
Hilton London Paddington,"146 Praed St, London, W2 1EE",www.hilton.com,020 7850 0500 ,"https://c.yell.com/t_bigRect,f_auto/f5690e6a-43bb-48d6-b409-3ea9a3482259_image_jpeg.jpg"
"The Corinthia Hotel Ltd,","10 Northumberland Avenue, London, WC2N 5AE",www.corinthia.com,0843 8161328 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Club Quarters Trafalgar Square,"8 Northumberland Avenue, London, WC2N 5BY",,0845 4566399 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Radisson Blue Edwardian Leicester Square,"3-6 St. Martins St, London, WC2H 7HL",www.radissonedwardian.com,020 7930 8641 ,"https://c.yell.com/t_bigSquare,f_auto/ffd59d96-02d7-4752-94a9-85406282335d_image_jpeg.jpg"
Citadines Apart'hotel Trafalgar,"18-21, Northumberland Avenue, London, WC2N 5EA",,0845 4566399 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Crowne Plaza London - Battersea,"Bridges Wharf, Bridges Court Rd, London, SW11 3BE",,0871 423 4828 ,"https://c.yell.com/t_bigRect,f_auto/e72787e2-0213-4d5e-a4e9-6ac5cd77a6e3_image_png.png"
Amistad Partners,"Trafalgar Square, London, WC2N 5DU",www.amistadpartners.com,020 7946 0835 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Grand at Trafalgar Square,"8 Northumberland Avenue, London, WC2N 5BY",,0845 0805104 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Club Quarters,"8 Northumberland Avenue, London, WC2N 5BY",www.clubquarters.com,020 7451 5600 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Radisson Blu Edwardian Hampshire,"31-36 Leicester Square, London, WC2H 7LH",www.radissonblu-edwardian.com,020 7839 9399 ,"https://c.yell.com/t_bigRect,f_auto/f9ea61d9-f995-4c8a-a67e-7b235a40253b_image_jpeg.jpg"
The Londoner Hotel,"38 Leicester Square, West End, London, WC2H 7DX",www.thelondoner.com,020 7451 0102 ,"https://c.yell.com/t_bigRect,f_auto/3eff60e3-33f4-4eb1-bbd5-f4b08361f532_image_jpeg.jpg"
Ace Hotel,"100 Shoreditch High St, London, E1 6JQ",www.acehotel.com,020 7613 9800 ,"https://c.yell.com/t_bigRect,f_auto/65ff627a-0e71-47c1-bfc2-9e08d5426307_image_jpeg.jpg"
Haymarket Hotel,"1 Suffolk Place, London, SW1Y 4HX",www.firmdale.com,020 7470 4000 ,"https://c.yell.com/t_bigSquare,f_auto/20dce6a7-c9aa-4d11-85bd-16925b6bf47d_image_jpeg.jpg"
Assembly Hotel London,"27-31 Charing Cross Rd, London, WC2H 0QE",www.assemblyhotel.com,020 3953 4251 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Grand at Trafalgar Square,"8 Trafalgar Square, London, WC2N 5BY",clubquartershotels.com,020 7451 5555 ,"https://c.yell.com/t_bigSquare,f_auto/713ba855-2bf8-4948-8108-7ff8b48e81ef_image_jpeg.jpg"
The Nadler,"51 Bedford Street, London, WC2R 0PZ",www.nadlerhotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Z Hotels,"Grove House, 2 Orange St, London, WC2H 7DF",www.thezhotels.com,020 3551 3720 ,"https://c.yell.com/t_bigSquare,f_auto/1c48f825-3fa0-40c3-a4db-07e3bdbc1c07_image_jpeg.jpg"
La Suite West Hotel,"41-51 Inverness Terrace, London, W2 3JN",www.lasuitewest.com,020 7313 8484 ,"https://c.yell.com/t_bigSquare,f_auto/9d5ae36e-7416-48af-9dfe-0b0139fac514_image_jpeg.jpg"
Central Park Hotel,"Wilberforce Road, London, N4 2SN",,0845 0805104 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Victory House Hotel,"14 Leicester Place, London, WC2H 7BZ",www.victoryhouselondon.com,020 3909 4100 ,"https://c.yell.com/t_bigSquare,f_auto/cf73df89-531c-4056-b6df-fcac8bc5b831_image_jpeg.jpg"
Holiday Inn London - Kensington Forum,"97 Cromwell Rd, London, SW7 4DN",www.ihg.com,020 7370 6815 ,"https://c.yell.com/t_bigRect,f_auto/11d39b67-0343-4260-94db-956ccf60e086_image_jpeg.jpg"
W Hotel,"10 Wardour Street, London, W1D 6QF",www.wlondon.co.uk,020 7758 1000 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Arbor City Hotel,"12-20 Osborn St, London, E1 6TE",www.arborcity.co.uk,020 7247 3313 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Nadler,"51 Bedford Street, Charing Cross, LONDON, WC2R 0PZ",www.nadlerhotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Resident,"51 Bedford St, London, WC2R 0PZ",www.residenthotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hotel Indigo London - 1 Leicester Square,"1 Leicester Square, London, WC2H 7NA",www.ihg.com,020 3953 4200 ,"https://c.yell.com/t_bigRect,f_auto/9f0571dd-473b-4b90-974a-3d56a26203d2_image_png.png"
The Royal Horse Guard Hotel,"2 Whitehall Place, Westminster, London, W1A 2HD",www.theroyalhorseguards.com,020 7839 3344 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hilton London Canary Wharf,"Marsh Wall, South Quay Square, London, E14 9SH",www.hilton.com,020 3002 2300 ,"https://c.yell.com/t_bigRect,f_auto/09ed6cc9-46d2-4e22-944a-f826050682f7_image_jpeg.jpg"
Comfotel GRN,"120 Shepherds Bush Rd, London, W6 7PD",www.comfotelgrn.com,020 7603 4409 ,"https://c.yell.com/t_bigSquare,f_auto/435858e4-3a8f-4039-a37f-da7553801c9c_image_png.png"
Hotel Sofitel London St James,"6 Waterloo Place, London, SW1Y 4AN",all.accor.com,020 7747 2200 ,"https://c.yell.com/t_bigRect,f_auto/50c87478-bba6-48df-ac51-3838b9d0106d_image_jpeg.jpg"
Royal Horseguards Hotel,"2 Whitehall Court, London, SW1A 2EJ",www.guoman.com,020 7839 3400 ,"https://c.yell.com/t_bigSquare,f_auto/5c231790-9667-493d-82d5-9861fbf3baba_image_jpeg.jpg"
The Park Terrace Restaurant Within Royal Garden Hotel,"2-24 Kensington High St, London, W8 4PT",www.royalgardenhotel.co.uk,020 7361 0602 ,"https://c.yell.com/t_bigSquare,f_auto/0cda78cf-6c9d-446b-81cb-99142a863371_image_jpeg.jpg"
Premier Inn,"Queens House 1 Leicester Place, London, WC2H 7BP",www.premierinn.com,0333 321 9254 ,"https://c.yell.com/t_bigRect,f_auto/f0156f54-cced-4c37-a210-5d8099c3754c_image_jpeg.jpg"
Kent Hall Hotel,"414 Seven Sisters Road, London, N4 2LX",,020 8802 5100 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Z Hotels,"2-6 Orange Street, Chinatown, LONDON, WC2H 7ED",www.thezhotels.com,020 3551 3720 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
